,community,viewpoint,alpha,rho,beta,gamma,normalized_alpha,normalized_rho,normalized_beta,rho_hat,beta_hat
0,metacommunity,0.0,100.34561861150226,10.496377624305552,0.2570531167350087,10.894202564795778,10.192917815274559,0.9928868562007295,1.0089613649912097,0.7913648020254626,0.19514087646292602
1,0,0.0,9090.90909090909,1234.9381354898742,0.000809757162129681,8.214389057022672,1.8181818181818181,0.24698762709797484,4.048785810648405,102.82817795748952,-0.08245609640769284
2,1,0.0,7577.838827838828,823.431469713526,0.0012144301460179834,9.444404327368325,3.031135531135531,0.32937258788541035,3.036075365044959,68.5359558094605,-0.08201770067514719
3,2,0.0,6678.668407108042,822.4465962443717,0.0012158844167711436,9.189871400297651,5.342934725686434,0.6579572769954972,1.5198555209639297,68.4538830203643,-0.08201612521516459
4,3,0.0,3869.275281667134,377.4909608492214,0.0026490700538904376,11.041304477497444,6.190840450667416,0.6039855373587542,1.6556687836815238,31.374246737435115,-0.08046350744161869
5,4,0.0,2095.8226328470637,257.1711563824113,0.003888460953657682,8.57950705866365,6.706632425110604,0.8229477004237167,1.215144048018025,21.347596365200943,-0.07912083396687085
6,5,0.0,1368.840371689633,140.37647092759573,0.007123700954954099,17.806981314884165,8.760578378813657,0.898409413936613,1.1130782742115775,11.614705910632978,-0.07561599063213306
7,6,0.0,680.7501001250783,76.7743586514864,0.0130251820733463,9.727363248920913,8.713601281601013,0.9827117907390268,1.0175923494801786,6.314529887623866,-0.0692227194205415
8,7,0.0,376.49129577603327,39.29301675654253,0.025449814815593,10.580208321548954,9.638177171866445,1.0059012289674898,0.9941333912341005,3.191084729711877,-0.05576270061644092
9,8,0.0,181.35539562345966,18.827627170906585,0.05311343755230353,10.055278086237179,9.28539625592114,0.963974511150418,1.0373718271934274,1.4856355975755486,-0.025793775985004513
10,9,0.0,92.10074579086329,9.712482442159573,0.10296028908729227,9.434510664694937,9.431116368984396,0.9945582020771422,1.0054715731180865,0.7260402035132977,0.02820697984456662
11,10,0.0,48.309806137459944,4.84621459045226,0.20634661988970604,10.138631937466538,9.893848296951804,0.992504748124626,1.0075518549302023,0.32051788253768837,0.14020883821384822
12,11,0.0,25.379924891125324,2.441059983486177,0.40965810212162806,10.675090459198161,10.395617235404954,0.9998581692359358,1.0001418508828832,0.12008833195718142,0.36046294396509704
13,12,0.0,61.53347332142019,5.509441051452765,0.1815066157639192,13.243912996616277,11.137558671177068,0.9972088303129507,1.0027989821211003,0.37578675428773045,0.1132988337442458
14,metacommunity,1.0,37.39288299241699,4.941465933713251,0.20236909723033408,7.567163974014947,7.501195346714053,0.9912822521716986,1.008794415323388,0.3007129571492888,
15,0,1.0,9090.90909090909,1169.0649074819864,0.0008553844988417878,7.776222716743526,1.818181818181818,0.2338129814963973,4.276922494208939,97.33874229016554,-0.0824066667929214
16,1,1.0,7562.316203317584,809.6813972909256,0.0012350536931512227,9.339866555684717,3.0249264813270336,0.3238725589163702,3.0876342328780573,67.39011644091046,-0.08199535849908618
17,2,1.0,6498.398138990428,774.1569040716995,0.001291727807038176,8.394161577339071,5.198718511192344,0.6193255232573597,1.6146597587977198,64.42974200597496,-0.08193396154237531
18,3,1.0,3531.499921718913,361.7495085358949,0.002764343769386971,9.762279805194249,5.650399874750259,0.5787992136574318,1.7277148558668571,30.06245904465791,-0.08033862758316411
