,community,viewpoint,alpha,rho,beta,gamma,normalized_alpha,normalized_rho,normalized_beta,rho_hat,beta_hat
0,metacommunity,0.0,94.83657969450601,10.689899763972393,0.2573951890532625,10.995972356373246,10.160049605406355,0.9941128678675322,1.007207669345036,0.8074916469976994,0.195511454807701
1,0,0.0,8750.0,1510.6038834515548,0.0006619869119594184,6.678523844224345,1.75,0.3021207766903109,3.309934559797093,125.8003236209629,-0.0826161808453773
2,1,0.0,8576.974780280792,1106.7167918772268,0.0009035735314938048,11.123676207374828,3.430789912112316,0.44268671675089066,2.2589338287345124,92.1430659897689,-0.08235446200754838
3,2,0.0,5144.273491161305,685.9877390684577,0.0014577520020371759,7.66719597610104,4.115418792929045,0.5487901912547662,1.8221900025464695,57.08231158903814,-0.08175410199779305
4,3,0.0,2624.57131504998,428.8413833090532,0.002331864504968565,6.377253342433781,4.199314104079968,0.6861462132944851,1.457415315605353,35.65344860908777,-0.08080714678628405
5,4,0.0,2018.0933131701888,262.246933850963,0.003813199968882412,7.876650242165615,6.4578986021446045,0.8391901883230825,1.1916249902757525,21.770577820913584,-0.07920236670037739
6,5,0.0,1215.7179461468495,147.85364758253576,0.006763444908870266,8.340034160922892,7.780594855339839,0.9462633445282296,1.0567882670109783,12.237803965211313,-0.07600626801539055
7,6,0.0,653.9649925358484,75.37335695759002,0.013267287545155583,9.287314662605752,8.370751904458874,0.964778969057153,1.0365068394652792,6.197779746465835,-0.06896043849274812
8,7,0.0,322.93664645655656,38.59500462821393,0.02591008887375478,8.603816991949666,8.267178149287856,0.9880321184822771,1.0121128466310456,3.1329170523511607,-0.05526407038676565
9,8,0.0,171.69168907797894,19.01519718495774,0.052589515126935694,9.2673813951324,8.790614480792527,0.973578095869838,1.027138967322961,1.5012664320798115,-0.02636135861248633
10,9,0.0,96.58780587903219,9.776849216309065,0.10228244067954623,10.391033769753179,9.890591322012918,1.0011493597500527,0.9988519597611892,0.7314041013590887,0.027472644069508407
11,10,0.0,52.18439886931765,4.876603402204643,0.2050607600257003,12.528052265828753,10.687364888436294,0.9987283767715116,1.001273242312989,0.3230502835170536,0.13881582336117534
12,11,0.0,24.446463962571684,2.427874297562961,0.4118829385045901,10.500561906561394,10.01327163906936,0.9944573122817832,1.0055735803334775,0.11898952479691342,0.3628731833799726
13,12,0.0,61.230889744986115,5.546840336563619,0.18028281676114016,11.88301619055133,11.08279104384251,1.0039781009180166,0.9960376616637563,0.3789033613803016,0.1119730514912352
