,community,viewpoint,alpha,rho,beta,gamma,normalized_alpha,normalized_rho,normalized_beta,rho_hat,beta_hat
0,metacommunity,0.0,101.83062059238142,10.757131327862195,0.257018466621406,10.876975949862791,10.251152275327687,0.9927367238347412,1.0085595066687143,0.8130942773218497,0.19510333883985648
1,0,0.0,6452.674897119342,1324.4552969222723,0.00075502737036408,5.476054874501299,1.2905349794238683,0.26489105938445445,3.7751368518204,110.28794141018936,-0.08251538701543891
2,1,0.0,9545.454545454544,1108.7465371072813,0.0009019193896280381,9.711820211856809,3.8181818181818183,0.4434986148429124,2.2547984740700957,92.31221142560678,-0.08235625399456963
3,2,0.0,6360.007971546777,824.166297071233,0.0012133473590871305,8.633021703246998,5.088006377237422,0.6593330376569864,1.5166841988589133,68.59719142260275,-0.08201887369432227
4,3,0.0,3435.8603821849665,415.4517964109476,0.0024070181153118464,132.79142391977126,5.497376611495946,0.6647228742575161,1.504386322069904,34.537649700912304,-0.08072573037507884
5,4,0.0,2548.721278519567,276.6965785245439,0.0036140670959228962,10.202342612929787,8.155908091262615,0.8854290512785408,1.1293959674759046,22.974714877045326,-0.07941809397941686
6,5,0.0,1409.940226161459,146.1636092976048,0.0068416482379269426,12.411900478872827,9.023617447433342,0.9354470995046714,1.069007537176084,12.096967441467067,-0.07592154774224581
7,6,0.0,728.5740965774595,76.67991779517047,0.013041224205159269,10.406078841236814,9.325748436191493,0.9815029477781827,1.018845641028067,6.306659816264205,-0.06920534044441079
8,7,0.0,338.84543069596657,37.07714173424648,0.026970795299367564,17.951362185910835,8.674443025816755,0.9491748283967105,1.0535466913815448,3.0064284778538735,-0.05411497175901847
9,8,0.0,174.52153341262883,19.484043390764505,0.051324049117751555,9.067481639208498,8.93550251072661,0.9975830216071433,1.0024228343310844,1.5403369492303753,-0.02773228012243582
10,9,0.0,106.56979803171836,9.692004590041407,0.10317782979875041,12.003974041859925,10.912747318447968,0.992461270020244,1.007595994128418,0.7243337158367839,0.02844264894864627
